RXCUI	ATC
213270	"[""G04BE03""]"
213972	"[""A07DA02"", ""N02AA02""]"
2168548	"[""N07XX08""]"
2174890	"[""N02BE01"", ""R05DA09""]"
2178275	"[""M01AE01""]"
226426	"[""N06BA07""]"
2178939	"[""C01CA26"", ""N02BE01"", ""R03CA02"", ""R05CA03""]"
1091941	"[""D01AE12""]"
1113490	"[""R05CA03"", ""R05DA09""]"
828556	"[""N02BE01""]"
828689	"[""N01AX10""]"
857111	"[""N02AJ22""]"
208816	"[""H02AB09""]"
198904	"[""A12CB02""]"
199296	"[""A12AA04""]"
204430	"[""J04AC01""]"
2046155	"[""N07BA01""]"
2046639	"[""D02AE01""]"
313413	"[""M03BX02""]"
348472	"[""R03DA04""]"
360110	"[""L04AH01""]"
401883	"[""G03GA07""]"
403939	"[""R01BA03"", ""R05CA03""]"
370495	"[""J01AA02""]"
810000	"[""N03AX18""]"
834063	"[""J01CE02""]"
204416	"[""N05AD01""]"
313312	"[""R03DA04""]"
349483	"[""C09CA03""]"
847133	"[""D10AE01""]"
847440	"[""A01AA01"", ""A12CD01""]"
854821	"[""J01MB02""]"
855180	"[""G04BD07""]"
858607	"[""C08CA04""]"
854882	"[""N05CF02""]"
208981	"[""C02CA01""]"
209134	"[""R03DA01"", ""R05CA03""]"
2099993	"[""V03AF03""]"
211753	"[""S01BA04"", ""S01CB02"", ""S03BA02""]"
2117610	"[""B05XA19""]"
2118588	"[""M01AC06""]"
2119573	"[""N06BA04""]"
213158	"[""R05CA03""]"
211002	"[""A06AB04""]"
1094353	"[""B05CA04"", ""G04BX06"", ""J01EB02""]"
1099790	"[""R06AX07""]"
1110820	"[""N01BA05""]"
1114481	"[""N04BC05""]"
1149666	"[""D08AG02"", ""D09AA09"", ""D11AC06""]"
1150300	"[""M01AX05""]"
1190319	"[""R01BA03"", ""R05DB10"", ""R06AE04""]"
1146699	"[""D10AE01""]"
1149376	"[""N02AX06""]"
1191234	"[""V03AB15""]"
1233546	"[""N02BE01"", ""R05DA09"", ""R06AA09""]"
1234872	"[""N02AA08"", ""N06BC01""]"
544516	"[""A09AB04"", ""B05CB02""]"
562844	"[""D10AB02"", ""D10AF06""]"
581571	"[""J01DC04""]"
582984	"[""H01AC01""]"
603978	"[""S01BC10""]"
860674	"[""R05CA03"", ""R05DA03""]"
860036	"[""R01BA03"", ""R05DA03"", ""R06AC01""]"
1006687	"[""D10AF06"", ""D10AB02""]"
1013659	"[""J01AA08""]"
1013073	"[""A01AB25"", ""C01BB01"", ""C05AD01"", ""J01AA06"", ""N01BB02""]"
1037039	"[""D08AX08""]"
1044606	"[""R01AX""]"
1050496	"[""N02AJ17""]"
239018	"[""B05XA04"", ""G04BA01""]"
243463	"[""A02AD01""]"
245500	"[""A11CC05""]"
283510	"[""L04AX03""]"
284243	"[""J01DC08""]"
307694	"[""N02BE01""]"
1660009	"[""L01AC01""]"
1665369	"[""A10BD20""]"
1666800	"[""N05CD08""]"
1668238	"[""J01FA10""]"
1721313	"[""N03AX22""]"
1723991	"[""D04AB01""]"
1735013	"[""N01AH01""]"
1736863	"[""A10AE04""]"
209013	"[""C10AA02""]"
1098691	"[""R05CA03"", ""R05DB10""]"
429042	"[""R05CB01""]"
577391	"[""D10AE01"", ""D10AB02""]"
857853	"[""R01BA03"", ""R05DA03"", ""R06AB04""]"
858976	"[""R05CA09"", ""R05DA03""]"
1039708	"[""D08AX08""]"
1042620	"[""D11AX11""]"
1043658	"[""S01GA01""]"
1046487	"[""D01AE12""]"
1046972	"[""A03BA01"", ""A03BA03"", ""A04AD01"", ""N03AA02"", ""N05CM05""]"
1050490	"[""N02AJ17""]"
1053417	"[""D01AE12""]"
245647	"[""D04AB04""]"
283270	"[""M02AC"", ""N01BX04""]"
1721956	"[""L01FC01""]"
1732003	"[""N02AA01""]"
1734204	"[""N01BB09""]"
1739211	"[""A01AC01"", ""C05AA12"", ""H02AB08"", ""R03BA06""]"
260269	"[""C05AD03"", ""D04AB04""]"
1099488	"[""R01BA02"", ""R06AX07"", ""R01BA52""]"
1190450	"[""R01BA02"", ""R06AA02""]"
1190563	"[""S01FA01""]"
1191003	"[""M02AB01"", ""N01BX04""]"
1193360	"[""N03AX14""]"
404187	"[""A06AB06""]"
436367	"[""D08AE05""]"
540517	"[""N02BE01""]"
545106	"[""D02AE01""]"
577033	"[""G04BE03""]"
579247	"[""A07FA51"", ""A07BC01""]"
602759	"[""R05CA03""]"
860244	"[""L03AB08""]"
1000909	"[""S01EB01""]"
1001058	"[""R01AA05""]"
1012545	"[""R01BA02"", ""R06AA08""]"
1014639	"[""D02AF"", ""D01AE12""]"
1038973	"[""D08AE04""]"
1041508	"[""R06AB06""]"
1046557	"[""R01BA01"", ""R06AB05"", ""R06AC01""]"
1053230	"[""D08AE05""]"
1665365	"[""D11AC""]"
1723194	"[""L01XX44""]"
1725079	"[""N01BB01""]"
1730929	"[""C01CA19""]"
1732157	"[""M03AX01""]"
1733707	"[""C05AX04""]"
1734091	"[""N01BB09""]"
1736547	"[""C07AB09""]"
237393	"[""A12BA05""]"
603378	"[""J05AE09""]"
860002	"[""R05CA03"", ""R05DA03""]"
1006107	"[""D10AF06""]"
1012863	"[""R01BA02"", ""R06AA08""]"
1049779	"[""R01BA02""]"
240906	"[""L01XX24""]"
261185	"[""N02AB03""]"
283411	"[""D02AA""]"
858993	"[""R05CA09"", ""R05DA03""]"
310152	"[""D10AF02""]"
311978	"[""C04AC02"", ""C10AD05""]"
309841	"[""N05BA01""]"
204579	"[""A06AA01""]"
205490	"[""C03CA02""]"
206714	"[""B01AC07""]"
204534	"[""J05AF01""]"
996824	"[""G02AB01""]"
996826	"[""G02AB01""]"
997224	"[""N06DA02""]"
313721	"[""A11HA03""]"
346296	"[""D02AE01""]"
809308	"[""D10AE01""]"
828359	"[""M03BX08""]"
206934	"[""C08CA03""]"
312952	"[""D08AL01""]"
825429	"[""B02BX05""]"
848751	"[""N05AX14""]"
848956	"[""S02AA15""]"
853004	"[""C01BA01""]"
1099572	"[""N03AG01""]"
1101850	"[""N01BX03""]"
1112493	"[""A11CC01""]"
1115754	"[""D08AE04"", ""D09AA06""]"
1117116	"[""D11AX12""]"
1120017	"[""D08AX01"", ""D11AX25""]"
1235477	"[""R02AD01""]"
207483	"[""N04BC02""]"
208674	"[""C03DB02""]"
212381	"[""J04AA01""]"
212787	"[""A02BA01""]"
212823	"[""D02AE01""]"
214050	"[""G03CA57""]"
2167855	"[""M02AX""]"
2173937	"[""R05DA09""]"
2183701	"[""R06AB04""]"
238019	"[""G03AA07""]"
404711	"[""G04BE08""]"
485064	"[""N05AF03""]"
541999	"[""V03AN01"", ""V03AN02""]"
543879	"[""G01AC30""]"
544140	"[""A03AX13""]"
544553	"[""G04BC""]"
577231	"[""D02AB""]"
582205	"[""D08AJ08""]"
597850	"[""L01XX35""]"
603206	"[""L01EB02""]"
616852	"[""C10AB05""]"
857307	"[""N06AA04""]"
858583	"[""C08CA04""]"
1012231	"[""D06BA02""]"
1085781	"[""C05AA12"", ""D07AB09"", ""D07XB02""]"
243471	"[""A02AB01"", ""A02AB02""]"
247974	"[""N02BE01""]"
248420	"[""A07EC02""]"
252551	"[""D08AE04"", ""D09AA06""]"
260476	"[""A11HA03""]"
1661566	"[""B01AB02""]"
1666781	"[""A03BA01""]"
1101748	"[""A06AB02""]"
1190850	"[""A03BA01"", ""N03AA02""]"
209168	"[""D07AC11""]"
2120909	"[""N02BE01"", ""R05DA09""]"
476827	"[""A06AB06""]"
579148	"[""N06DA04""]"
616460	"[""D08AX05""]"
859383	"[""R05FA02""]"
1086797	"[""R06AE07""]"
240374	"[""N02AX03""]"
261224	"[""J01CA04""]"
285017	"[""N06DA03""]"
1657985	"[""B01AB01"", ""C05BA03""]"
243809	"[""B02BA02""]"
1725175	"[""N01BB01""]"
1656983	"[""N02CC01""]"
244526	"[""D01AE12""]"
1741301	"[""B05AA01""]"
1742401	"[""B05AA01""]"
1744003	"[""J05AR03""]"
1745062	"[""N01BB01""]"
1789240	"[""D10AE01""]"
1789542	"[""A12AX"", ""A11CC05""]"
1790100	"[""L01DB01""]"
1790146	"[""S01BC11""]"
1795171	"[""B05BB01""]"
1797915	"[""R01AD11""]"
1797937	"[""R01AD11""]"
1802557	"[""C05AD03"", ""D04AB04"", ""R02AD01""]"
1805714	"[""C05AA12"", ""D07AB09"", ""D07XB02""]"
1807639	"[""B05XA03""]"
1807638	"[""B05XA03""]"
1808192	"[""R05CA03"", ""R05DA09""]"
1809429	"[""J06BA01""]"
1812737	"[""D09AA11""]"
1865706	"[""A12CB01"", ""B05XA18""]"
1869690	"[""A16AA03""]"
