rxcui,drug_name,tty,current_final,production,bucket,qa_prior,qa_cat
995864,{30 (calcium ascorbate 25 MG / calcium carbonate 400 MG / cholecalciferol 200 UNT / folic acid 2 MG / pyridoxine hydrochloride 25 MG Oral Tablet [Encora AM Tablet]) / 30 (calcium ascorbate 25 MG / calcium carbonate 600 MG / cholecalciferol 600 UNT / folic acid 0.5 MG / pyridoxine hydrochloride 12.5 MG Oral Tablet [Encora PM Tablet]) / 60 (linoleic acid 10 MG / omega-3 acid ethyl esters (USP) 650 MG / vitamin E 50 UNT Oral Capsule [Encora Capsule]) } Pack [Encora],BPCK,A11JB|A11JC,A11CC05|A11HA02|A11HA03|B03BB01,A2-combo-multi,,
308403,aspirin 165 MG Delayed Release Oral Tablet,SCD,N02BA01,B01AC06|N02BA01|N02BA51,A3-single-single,,
702296,doxycycline calcium 10 MG/ML Oral Suspension [Vibramycin],SBD,A01AB22|J01AA02,J01AA02,A2-combo-multi,,
891134,aspirin 15600 MG Oral Tablet,SCD,B01AC06|N02BA01,B01AC06|N02BA01|N02BA51,A1-single-multi,,
310473,100 ML gentamicin 0.8 MG/ML Injection,SCD,J01GB03,D06AX07|S03AA06,A4-combo-single,,
789980,ampicillin 100 MG/ML Injectable Solution,SCD,J01CA01,J01CA01|J01CA18,A4-combo-single,,
308657,benzocaine 200 MG/ML Mucous Membrane Topical Solution,SCD,N01BA05,C05AD03|D04AB04|R02AD01,A4-combo-single,,
309291,ciclopirox 80 MG/ML Topical Solution,SCD,D01AE14,D01AE14|G01AX12,A4-combo-single,CHANGE_CORRECT,
204135,desonide 0.0005 MG/MG Topical Ointment,SCD,D07AB08,D07AB08|S01BA11,A4-combo-single,,
206213,erythromycin 0.02 MG/MG Topical Ointment [Aknemycin],SBD,D10AF02,J01FA01,A4-combo-single,,
347745,carbon monoxide 0.3 % / neon 0.5 % / nitrogen 78.2 % / oxygen 21 % Gas for Inhalation,SCD,V03AN01|V03AN04|V04CX08,V03AN01|V03AN04,A2-combo-multi,,
800237,alanine 9.93 MG/ML / arginine 10.2 MG/ML / aspartate 7 MG/ML / glutamate 7.38 MG/ML / glycine 5 MG/ML / histidine 3 MG/ML / isoleucine 6.6 MG/ML / leucine 10 MG/ML / lysine 10.5 MG/ML / methionine 1.72 MG/ML / phenylalanine 2.98 MG/ML / proline 7.22 MG/ML / serine 5.3 MG/ML / threonine 4 MG/ML / tryptophan 2 MG/ML / tyrosine 2.7 MG/ML / valine 5 MG/ML Injectable Solution,SCD,B05BA01,B05CX03|B05XB03|N06AX02|V03AB26,A4-combo-single,,
809206,benzocaine 60 MG/ML / isopropyl alcohol 0.7 ML/ML Medicated Pad,SCD,D04AB04,D08AX05,A4-combo-single,,
828618,citric acid 66.8 MG/ML / potassium citrate 110 MG/ML / sodium citrate 100 MG/ML Oral Solution [Cytra-3],SBD,G04BC,A09AB04|A12BA02|B05CB02,A4-combo-single,,
312221,papaverine 30 MG Oral Tablet,SCD,A03AD01|G04BE02,G04BE02,A1-single-multi,,
993067,codeine phosphate 2 MG/ML / phenylpropanolamine 1 MG/ML / promethazine hydrochloride 1.25 MG/ML Oral Solution,SCD,R01BA01|R05DA04|R06AD02,R01BA01|R05DA04,A2-combo-multi,,
637462,dimethicone 50 MG/ML / zinc oxide 50 MG/ML Topical Cream,SCD,D02AA,P03AX05,A4-combo-single,,
729908,benzocaine 3 MG / menthol 3 MG Oral Film,SCD,C05AD03|N01BA05|R02AD01,C05AD03|D04AB04|R02AD01,A2-combo-multi,,
883807,270 ACTUAT epinephrine 0.22 MG/ACTUAT Metered Dose Inhaler [Primatene Mist Inhaler],SBD,R03AA01,C01CA24|S01EA01,A4-combo-single,,
979491,metaproterenol sulfate 4 MG/ML Inhalation Solution [Alupent],SBD,R03AB03|R03CB03,R03CB03,A2-combo-multi,,
205256,"diphtheria toxoid vaccine, inactivated 20 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Suspension",SCD,J07AM51,J07AF01|J07AM01|J07AM51|J07CA02,A4-combo-single,,
2054120,glycopyrronium 24 MG/ML Medicated Pad [Qbrexza],SBD,D11AA01,A03AB02,A4-combo-single,,
205530,desonide 0.0005 MG/MG Topical Ointment [Desowen],SBD,D07AB08,D07AB08|S01BA11,A4-combo-single,CHANGE_CORRECT,
312483,polythiazide 0.5 MG / prazosin 5 MG Oral Capsule,SCD,C02LE01,C02CA01|C03AA05,A4-combo-single,,
317059,oxyquinoline sulfate 1 MG/ML / tetracaine 2.5 MG/ML Topical Solution,SCD,C05AD02|D04AB06|D08AH03,A01AB07|C05AD02|D04AB06|D08AH03|G01AC30|N01BA03|R02AA14|S01HA03,A2-combo-multi,,
346558,clotrimazole 10 MG Oral Tablet,SCD,A01AB18,D01AC01,A3-single-single,,
377519,zinc pyrithione Medicated Shampoo,SCDF,D11AC,D11AX12,A3-single-single,,
801653,alanine 11.4 MG/ML / arginine 5.7 MG/ML / dibasic potassium phosphate 5.22 MG/ML / glucose 100 MG/ML / glycine 11.4 MG/ML / histidine 2.41 MG/ML / isoleucine 2.63 MG/ML / leucine 3.4 MG/ML / lysine 3.18 MG/ML / magnesium chloride 0.02 MEQ/ML / sodium chloride 0.04 MEQ/ML / threonine 2.3 MG/ML / tryptophan 0.99 MG/ML / tyrosine 0.22 MG/ML / valine 2.52 MG/ML Injectable Solution,SCD,A12CA01|A12CC01|B05CB01|B05CX01|B05CX03|B05XA03|B05XA11|B05XB01|B05XB03|N06AX02|V04CA02|V06DC01,B05CX03|B05XB03|N06AX02,A2-combo-multi,UNSURE,other
832864,sulfacetamide sodium 100 MG/ML Medicated Shampoo,SCD,D10AF06,D10AB02,A4-combo-single,,
310545,glycerin 250 MG/ML Injectable Solution,SCD,A06AG04|A06AX01,A06AX01,A2-combo-multi,,
999803,ascorbic acid 75 MG / ferrous fumarate 333 MG / folic acid 0.5 MG / liver stomach concentrate 240 MG / vitamin B12 0.015 MG Oral Capsule [Ferotrin],SBD,A11GA01|B03AA02|B03BA01|B03BB01,A11GA01|B03BA01|B03BB01,A2-combo-multi,,
847741,lopinavir 200 MG / ritonavir 50 MG Oral Tablet [Kaletra],SBD,J05AR10,J05AE03,A4-combo-single,,
2109088,160 ACTUAT epinephrine 0.125 MG/ACTUAT Metered Dose Inhaler [Primatene Mist Inhaler],SBD,R03AA01,C01CA24|S01EA01,A4-combo-single,,
211137,povidone-iodine 10 MG/ML Topical Solution [Polydine],SBD,D08AG02|D09AA09|D11AC06,D08AG02|D09AA09|D11AC06|G01AX11|R02AA15,A2-combo-multi,,
211746,povidone-iodine 0.075 MG/MG Medicated Bar Soap [Povidine],SBD,D08AG02|D09AA09|D11AC06,D08AG02|D09AA09|D11AC06|G01AX11|R02AA15,A2-combo-multi,,
2117770,{7 (ethinyl estradiol 0.01 MG Oral Tablet) / 84 (ethinyl estradiol 0.02 MG / levonorgestrel 0.1 MG Oral Tablet) } Pack [Lojaimiess 91 Day],BPCK,G03AA07,G03CA01,A4-combo-single,,
2118734,acetaminophen 325 MG / benzhydrocodone 8.16 MG Oral Tablet [Apadaz],SBD,N02AJ22,N02BE01,A4-combo-single,,
2121735,{39 (dexamethasone 1.5 MG Oral Tablet) } Pack [Dxevo 11 Day Taper],BPCK,H02AB02,H02AB02|S01BA01,A6-pack-other,,
213664,betamethasone 4 MG/ML Injectable Solution [Celestone phosphate],SBD,A07EA04|C05AA05|H02AB01|R03BA04|S03BA03,D07AC01|H02AB01|S01BA06|S03BA03,A2-combo-multi,,
1098478,sodium fluoride 0.55 MG / xylitol 237 MG Chewable Tablet [Fluor a Day Chewable],SBD,A01AA01|A12CD01,A01AA01,A2-combo-multi,,
806861,benzocaine 50 MG/ML Mucosal Spray [Cepacol],SBD,R02AD01,C05AD03|D04AB04|R02AD01,A4-combo-single,CHANGE_CORRECT,
828296,calcium carbonate 600 MG / cholecalciferol 400 UNT / folic acid 1.6 MG / hydroxocobalamin 0.425 MG Oral Tablet [Calafol Rx],SBD,A02AC01|A11CC05|A12AA04|B03BA03|B03BB01|V03AB33,A11CC05|B03BB01,A2-combo-multi,,
1149663,povidone-iodine 50 MG/ML Ophthalmic Solution [Betadine],SBD,S01AX18,D08AG02|D09AA09|D11AC06|G01AX11|R02AA15,A4-combo-single,,
1192923,docusate sodium 56.6 MG/ML Enema [Enemeez],SBD,A06AG10,A06AA02,A4-combo-single,,
541705,prednisolone 5 MG Oral Tablet [Prednoral],SBD,A01AC04|A07EA01|C05AA04|H02AB06|S03BA02,H02AB06,A1-single-multi,,
857758,chlorpheniramine maleate 0.4 MG/ML / hydrocodone bitartrate 0.334 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Solution [HIST-HC],SBD,R01BA03|R05DA03|R06AB04,R05DA03|R06AB04,A2-combo-multi,,
1006409,chlorhexidine gluconate 20 MG/ML Topical Solution [Vet One],SBD,D08AC02|D09AA12,A01AB03|D08AC02|R02AA05,A2-combo-multi,,
1010671,lidocaine hydrochloride 20 MG/ML Injectable Solution,SCD,N01BB02,D04AB01|N01BB02|R02AD02,A4-combo-single,,
1012245,hydrocortisone acetate 20 MG/ML / lidocaine hydrochloride 20 MG/ML Medicated Pad,SCD,C05AA01|C05AD01|D04AB01|D07AA02|D07XA01,A01AC03|A07EA02|D04AB01|D07AA02|D07AB02|D07AB11|H02AB09|N01BB02|R02AD02|S01BA02,A2-combo-multi,,
