rxcui,atcprod_l4s,candidate_l5,coverage
1741263,B03AC,,COVERED
1243998,,,MISS
1251782,,,MISS
1729173,C05AD,C05AD01,COVERED
1297524,,,MISS
1302617,,,MISS
1372464,M02AC,,COVERED
1356524,,,MISS
1310481,,,MISS
1858383,R01BA,R01BA03,COVERED
1366788,,,MISS
197592,,,MISS
1735004,,,MISS
1801689,,,MISS
1869344,S01KA,,COVERED
1592290,D04AB,D04AB01,COVERED
1251594,,,MISS
1791409,B05BC,B05BC01,COVERED
197576,H02AB,H02AB02,COVERED
1249026,,,MISS
1358777,,,MISS
1251212,D08AC,D08AC02,COVERED
1494979,C01EB,C01EB09,COVERED
1362822,,,MISS
1437300,,,MISS
1593876,R01AX,,COVERED
1544281,,,MISS
657561,,,MISS
685578,,,MISS
1312997,D11AF,,COVERED
1537019,N02BA,N02BA01,COVERED
749855,,,MISS
705133,C01DA,C01DA02,COVERED
1440021,D02AA,,COVERED
749874,,,MISS
618028,J01CR,,COVERED
702503,D07AA,D07AA02,COVERED
729768,D01AC,D01AC08,COVERED
617339,J01CR,,COVERED
880890,,,MISS
899257,,,MISS
707381,R01AX,,COVERED
797654,,,MISS
308799,,,MISS
312218,,,MISS
312601,,,MISS
206549,,,MISS
748866,,,MISS
308493,S01AA,S01AA32,COVERED
861663,,,MISS
724863,N06BA,N06BA13,COVERED
800341,B05BA,,COVERED
800345,B05BA,,COVERED
1995011,,,MISS
206369,,,MISS
630062,,,MISS
800062,B05DB,,COVERED
198471,N02BA,N02BA01,COVERED
707359,R01AX,,COVERED
629994,,,MISS
761998,,,MISS
731573,,,MISS
891136,,,MISS
968989,,,MISS
308897,,,MISS
702615,N02BE,N02BE01,COVERED
309536,,,MISS
891820,A11JB,,COVERED
796544,A11JA,,COVERED
1087663,V06DD,,COVERED
686497,A01AD,,COVERED
343040,H02AB,H02AB02,COVERED
1088970,R05FA,,COVERED
311998,V03AN,V03AN04,COVERED
309390,D05AA,,COVERED
2001358,N02AJ,,COVERED
702296,,,MISS
891134,,,MISS
206213,,,MISS
347745,,,MISS
308403,N02BA,N02BA01,COVERED
310473,J01GB,J01GB03,COVERED
308657,N01BA,N01BA05,COVERED
309291,D01AE,D01AE14,COVERED
993067,,,MISS
312221,,,MISS
789980,J01CA,J01CA01,COVERED
809206,D04AB,D04AB04,COVERED
204135,D07AB,D07AB08,COVERED
729908,,,MISS
883807,,,MISS
979491,,,MISS
205256,,,MISS
828618,G04BC,,COVERED
317059,,,MISS
346558,,,MISS
637462,D02AA,,COVERED
205530,D07AB,D07AB08,COVERED
801653,,,MISS
310545,,,MISS
800237,B05BA,,COVERED
2054120,D11AA,D11AA01,COVERED
999803,,,MISS
211137,,,MISS
211746,,,MISS
832864,D10AF,D10AF06,COVERED
213664,,,MISS
1098478,,,MISS
377519,D11AC,,COVERED
2109088,R03AA,R03AA01,COVERED
806861,,,MISS
828296,,,MISS
312483,C02LE,,COVERED
2121735,H02AB,H02AB02,COVERED
541705,,,MISS
857758,,,MISS
995864,A11JC|A11JB,,COVERED
2118734,N02AJ,,COVERED
1006409,,,MISS
1012245,,,MISS
2117770,G03AB|G03AA|G03CA,G03AB03|G03AA08|G03CA01,COVERED
1046840,,,MISS
1149663,S01AX,S01AX18,COVERED
1049256,,,MISS
1010671,N01BB,N01BB02,COVERED
244413,,,MISS
