rxcui,final_codes,fix_source
261178,D01AA01,atcprod-confirmed
226552,N05CM05,atcprod-confirmed
208560,S01ED01,atcprod-confirmed
2120195,N02CD01,atcprod-confirmed
1116729,D08AJ01,atcprod-confirmed
859066,M01AB05,atcprod-confirmed
1049213,N01BA05,atcprod-confirmed
1666372,C01CA06,atcprod-confirmed
1667911,C01CA02,atcprod-confirmed
1733863,C05AD01,atcprod-confirmed
1011851,D04AB01,atcprod-confirmed
1737581,J01FF01,atcprod-confirmed
1737742,C01BB01,atcprod-confirmed
1738590,H02AB09,atcprod-confirmed
252971,C05AD03,atcprod-confirmed
1006684,D10AF06,atcprod-confirmed
1012681,R01BA02,atcprod-confirmed
310150,D10AF02,atcprod-confirmed
2049133,L01EE03,atcprod-confirmed
483438,N02BF02,atcprod-confirmed
616285,L01EX01,atcprod-confirmed
859203,B05XA03,atcprod-confirmed
1737637,C01BB01,atcprod-confirmed
1807631,B05XA03,atcprod-confirmed
1922512,L01FD01,atcprod-confirmed
197519,D10AF01,atcprod-confirmed
1241663,D08AX08,atcprod-confirmed
1244675,R05CA03,atcprod-confirmed
1305269,C01CA24,atcprod-confirmed
1307051,D08AX08,atcprod-confirmed
1648110,D06AX05,atcprod-confirmed
1651001,D04AB01,atcprod-confirmed
1442130,M01AB05,atcprod-confirmed
1862590,L01XK03,atcprod-confirmed
1942847,D01AE12,atcprod-confirmed
1797884,R01AC03,atcprod-confirmed
1293859,D04AB07,atcprod-promote-L4toL5
1721583,L01EB04,atcprod-confirmed
1372298,C05AX06,atcprod-promote-L4toL5
142046,G01AF01,atcprod-confirmed
1367082,D08AJ01,atcprod-confirmed
656882,D10AD01,atcprod-confirmed
670084,H02AB01,atcprod-confirmed
705129,C01DA02,atcprod-confirmed
724568,G01AA01,atcprod-confirmed
1089078,D08AJ01,atcprod-confirmed
904773,D10AF06,atcprod-promote-L4toL5
2049016,D04AB01,atcprod-confirmed
899690,C01DA02,atcprod-confirmed
313596,S01AD06,atcprod-confirmed
206228,D10AF02,atcprod-confirmed
312504,A12BA01,atcprod-confirmed
1992303,S01ED01,atcprod-confirmed
994539,M03BC01,atcprod-confirmed
352257,N07XX04,atcprod-confirmed
829539,D10AD03,atcprod-confirmed
312910,S01FA02,atcprod-confirmed
208361,G04BX13,atcprod-confirmed
577395,M02AB01,atcprod-confirmed
581660,D08AX08,atcprod-confirmed
1010759,N01BB02,atcprod-confirmed
1041851,D08AX08,atcprod-confirmed
1049224,R02AD01,atcprod-confirmed
247816,N02BE01,atcprod-confirmed
260192,C05AA01,atcprod-confirmed
1043307,D09AA11,atcprod-confirmed
203576,R06AX13,atcprod-confirmed
846955,D10AD01,atcprod-confirmed
211161,N02BE01,atcprod-confirmed
314182,A12BA01,atcprod-confirmed
1994403,M02AB01,atcprod-confirmed
1047755,D08AX08,atcprod-confirmed
1049908,R06AA02,atcprod-confirmed
1085756,H02AB08,atcprod-confirmed
245001,A02AD03,atcprod-confirmed
1737778,D04AB01,atcprod-confirmed
1190540,A03BA01,atcprod-confirmed
562411,J01XX10,atcprod-confirmed
1005835,D10AF06,atcprod-promote-L4toL5
1010836,D04AB01,atcprod-confirmed
1112864,N02BE01,atcprod-confirmed
1146709,D01AE12,atcprod-confirmed
1148506,L01ED01,atcprod-confirmed
1658236,B05XA05,atcprod-confirmed
1992304,S01ED01,atcprod-confirmed
204903,A11CA02,atcprod-confirmed
206211,D10AF02,atcprod-confirmed
832718,A12BA01,atcprod-confirmed
1657723,L01FE02,atcprod-confirmed
1807633,B05XA03,atcprod-confirmed
1807632,B05XA03,atcprod-confirmed
1866218,C05AD01,atcprod-confirmed
1919489,V06DC01,atcprod-promote-L4toL5
1298443,R05CA03,atcprod-confirmed
